areaName,date,newCasesByPublishDate
United Kingdom,25/3/2021,6397
United Kingdom,24/3/2021,5605
United Kingdom,23/3/2021,5379
United Kingdom,22/3/2021,5342
United Kingdom,21/3/2021,5312
United Kingdom,20/3/2021,5587
United Kingdom,19/3/2021,4802
United Kingdom,18/3/2021,6303
United Kingdom,17/3/2021,5758
United Kingdom,16/3/2021,5294
United Kingdom,15/3/2021,5089
United Kingdom,14/3/2021,4618
United Kingdom,13/3/2021,5534
United Kingdom,12/3/2021,6609
United Kingdom,11/3/2021,6753
United Kingdom,10/3/2021,5926
United Kingdom,9/3/2021,5766
United Kingdom,8/3/2021,4712
United Kingdom,7/3/2021,5177
United Kingdom,6/3/2021,6040
United Kingdom,5/3/2021,5947
United Kingdom,4/3/2021,6573
United Kingdom,3/3/2021,6385
United Kingdom,2/3/2021,6391
United Kingdom,1/3/2021,5455
United Kingdom,28/2/2021,6035
United Kingdom,27/2/2021,7434
United Kingdom,26/2/2021,8523
United Kingdom,25/2/2021,9985
United Kingdom,24/2/2021,9938
United Kingdom,23/2/2021,8489
United Kingdom,22/2/2021,10641
United Kingdom,21/2/2021,9834
United Kingdom,20/2/2021,10406
United Kingdom,19/2/2021,12027
United Kingdom,18/2/2021,12057
United Kingdom,17/2/2021,12718
United Kingdom,16/2/2021,10625
United Kingdom,15/2/2021,9765
United Kingdom,14/2/2021,10972
United Kingdom,13/2/2021,13308
United Kingdom,12/2/2021,15144
United Kingdom,11/2/2021,13494
United Kingdom,10/2/2021,13013
United Kingdom,9/2/2021,12364
United Kingdom,8/2/2021,14104
United Kingdom,7/2/2021,15845
United Kingdom,6/2/2021,18262
United Kingdom,5/2/2021,19114
United Kingdom,4/2/2021,20634
United Kingdom,3/2/2021,19202
United Kingdom,2/2/2021,16840
United Kingdom,1/2/2021,18607
United Kingdom,31/1/2021,21088
United Kingdom,30/1/2021,23275
United Kingdom,29/1/2021,29079
United Kingdom,28/1/2021,28680
United Kingdom,27/1/2021,25308
United Kingdom,26/1/2021,20089
