areaName,date,newCasesBySpecimenDate,,newCasesByPublishDate
United Kingdom,23-03-2021,4901,,5379
United Kingdom,22-03-2021,6255,,5342
United Kingdom,21-03-2021,5397,,5312
United Kingdom,20-03-2021,4040,,5587
United Kingdom,19-03-2021,5045,,4802
United Kingdom,18-03-2021,5599,,6303
United Kingdom,17-03-2021,5914,,5758
United Kingdom,16-03-2021,5795,,5294
United Kingdom,15-03-2021,6662,,5089
United Kingdom,14-03-2021,4376,,4618
United Kingdom,13-03-2021,4267,,5534
United Kingdom,12-03-2021,5695,,6609
United Kingdom,11-03-2021,5908,,6753
United Kingdom,10-03-2021,6167,,5926
United Kingdom,09-03-2021,6361,,5766
United Kingdom,08-03-2021,6839,,4712
United Kingdom,07-03-2021,4338,,5177
United Kingdom,06-03-2021,4524,,6040
United Kingdom,05-03-2021,5405,,5947
United Kingdom,04-03-2021,5790,,6573
United Kingdom,03-03-2021,6017,,6385
United Kingdom,02-03-2021,6675,,6391
United Kingdom,01-03-2021,6939,,5455
United Kingdom,28-02-2021,4742,,6035
United Kingdom,27-02-2021,4835,,7434
United Kingdom,26-02-2021,6602,,8523
United Kingdom,25-02-2021,7758,,9985
United Kingdom,24-02-2021,8571,,9938
United Kingdom,23-02-2021,9439,,8489
United Kingdom,22-02-2021,11331,,10641
United Kingdom,21-02-2021,7908,,9834
United Kingdom,20-02-2021,8077,,10406
United Kingdom,19-02-2021,10428,,12027
United Kingdom,18-02-2021,11430,,12057
United Kingdom,17-02-2021,11596,,12718
United Kingdom,16-02-2021,12505,,10625
United Kingdom,15-02-2021,14314,,9765
United Kingdom,14-02-2021,8784,,10972
United Kingdom,13-02-2021,8780,,13308
United Kingdom,12-02-2021,12192,,15144
United Kingdom,11-02-2021,12777,,13494
United Kingdom,10-02-2021,13535,,13013
United Kingdom,09-02-2021,13857,,12364
United Kingdom,08-02-2021,15787,,14104
United Kingdom,07-02-2021,11419,,15845
United Kingdom,06-02-2021,11979,,18262
United Kingdom,05-02-2021,15905,,19114
United Kingdom,04-02-2021,18028,,20634
United Kingdom,03-02-2021,19459,,19202
United Kingdom,02-02-2021,19825,,16840
United Kingdom,01-02-2021,22420,,18607
United Kingdom,31-01-2021,15442,,21088
United Kingdom,30-01-2021,16691,,23275
United Kingdom,29-01-2021,21823,,29079
United Kingdom,28-01-2021,24209,,28680
United Kingdom,27-01-2021,25750,,25308
United Kingdom,26-01-2021,27041,,20089
United Kingdom,25-01-2021,29993,,22195
United Kingdom,24-01-2021,17214,,30004
United Kingdom,23-01-2021,21871,,33552
United Kingdom,22-01-2021,29609,,40261
United Kingdom,21-01-2021,31715,,37892
United Kingdom,20-01-2021,35161,,38905
United Kingdom,19-01-2021,39546,,33355
United Kingdom,18-01-2021,44849,,37535
United Kingdom,17-01-2021,28879,,38598
United Kingdom,16-01-2021,30551,,41346
United Kingdom,15-01-2021,40450,,55761
United Kingdom,14-01-2021,42431,,48682
United Kingdom,13-01-2021,45450,,47525
United Kingdom,12-01-2021,49446,,45533
United Kingdom,11-01-2021,57201,,46169
United Kingdom,10-01-2021,36367,,54940
United Kingdom,09-01-2021,39105,,59937
United Kingdom,08-01-2021,47071,,68053
United Kingdom,07-01-2021,51987,,52618
United Kingdom,06-01-2021,57453,,62322
United Kingdom,05-01-2021,65175,,60916
United Kingdom,04-01-2021,76218,,58784
