areaName,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,newPeopleVaccinatedFirstDoseByPublishDate
United Kingdom,10-03-2021,32,125165,119306
United Kingdom,09-03-2021,97,125133,129782
United Kingdom,08-03-2021,130,125036,117835
United Kingdom,07-03-2021,102,124906,76123
United Kingdom,06-03-2021,128,124804,59905
United Kingdom,05-03-2021,139,124676,69223
United Kingdom,04-03-2021,135,124537,111109
United Kingdom,03-03-2021,140,124402,106878
United Kingdom,02-03-2021,172,124262,96242
United Kingdom,01-03-2021,223,124090,99530
United Kingdom,28-02-2021,205,123867,85227
United Kingdom,27-02-2021,224,123662,40744
United Kingdom,26-02-2021,216,123438,48055
United Kingdom,25-02-2021,254,123222,107886
United Kingdom,24-02-2021,266,122968,107420
United Kingdom,23-02-2021,282,122702,170818
United Kingdom,22-02-2021,274,122420,239434
United Kingdom,21-02-2021,320,122146,225917
United Kingdom,20-02-2021,343,121826,236809
United Kingdom,19-02-2021,376,121483,293548
United Kingdom,18-02-2021,418,121107,424301
United Kingdom,17-02-2021,428,120689,411305
United Kingdom,16-02-2021,445,120261,324942
United Kingdom,15-02-2021,513,119816,337665
United Kingdom,14-02-2021,490,119303,325650
United Kingdom,13-02-2021,487,118813,329897
United Kingdom,12-02-2021,523,118326,367006
United Kingdom,11-02-2021,571,117803,752308
United Kingdom,10-02-2021,601,117232,614930
United Kingdom,09-02-2021,601,116631,528260
United Kingdom,08-02-2021,682,116030,462246
United Kingdom,07-02-2021,631,115348,433320
United Kingdom,06-02-2021,697,114717,386685
United Kingdom,05-02-2021,748,114020,257010
United Kingdom,04-02-2021,716,113272,512108
United Kingdom,03-02-2021,855,112556,369578
United Kingdom,02-02-2021,846,111701,260809
United Kingdom,01-02-2021,887,110855,243887
United Kingdom,31-01-2021,889,109968,217301
United Kingdom,30-01-2021,912,109079,215273
United Kingdom,29-01-2021,1063,108167,164143
United Kingdom,28-01-2021,1106,107104,416834
United Kingdom,27-01-2021,1107,105998,437463
United Kingdom,26-01-2021,1057,104891,376244
United Kingdom,25-01-2021,1164,103834,278956
United Kingdom,24-01-2021,1153,102670,224996
United Kingdom,23-01-2021,1159,101517,203168
United Kingdom,22-01-2021,1239,100358,185900
United Kingdom,21-01-2021,1231,99119,407503
United Kingdom,20-01-2021,1294,97888,504493
United Kingdom,19-01-2021,1359,96594,485720
United Kingdom,18-01-2021,1296,95235,448962
United Kingdom,17-01-2021,1264,93939,326692
United Kingdom,16-01-2021,1300,92675,192341
United Kingdom,15-01-2021,1223,91375,141719
United Kingdom,14-01-2021,1220,90152,334679
United Kingdom,13-01-2021,1212,88932,371906
United Kingdom,12-01-2021,1204,87720,452454
United Kingdom,11-01-2021,1133,86516,482110
United Kingdom,10-01-2021,1091,85383,364865
United Kingdom,09-01-2021,1017,84292,275956
United Kingdom,08-01-2021,980,83275,237962
United Kingdom,07-01-2021,991,82295,505362
United Kingdom,06-01-2021,931,81304,544603
United Kingdom,05-01-2021,905,80373,503116
United Kingdom,04-01-2021,843,79468,450810
United Kingdom,03-01-2021,756,78625,411812
United Kingdom,02-01-2021,756,77869,352480
United Kingdom,01-01-2021,745,77113,278988
United Kingdom,31-12-2020,750,76368,549808
United Kingdom,30-12-2020,718,75618,494163
United Kingdom,29-12-2020,662,74900,480560
United Kingdom,28-12-2020,676,74238,469016
United Kingdom,27-12-2020,646,73562,374756
United Kingdom,26-12-2020,653,72916,350348
United Kingdom,25-12-2020,609,72263,319038
United Kingdom,24-12-2020,582,71654,598389
