areaName,date,plannedPCRCapacityByPublishDate,newPCRTestsByPublishDate,cumPCRTestsByPublishDate,plannedAntibodyCapacityByPublishDate,newAntibodyTestsByPublishDate,cumAntibodyTestsByPublishDate
United Kingdom,14/1/2021,806881,526562,57478883,121100,4231,2896483
United Kingdom,13/1/2021,817535,473277,56952321,121100,3911,2892252
United Kingdom,12/1/2021,799814,417070,56468161,121100,3384,2888341
United Kingdom,11/1/2021,793534,325287,56051093,121100,1922,2863199
United Kingdom,10/1/2021,784972,414752,55718621,121100,575,2860709
United Kingdom,9/1/2021,786910,500720,55303869,121100,946,2860134
United Kingdom,8/1/2021,779418,544657,54803153,121100,2578,2859428
United Kingdom,7/1/2021,776382,501093,54258496,121100,3846,2856855
United Kingdom,6/1/2021,768882,461690,53756909,121100,3776,2853009
United Kingdom,5/1/2021,774238,400325,53286837,121100,2700,2844354
United Kingdom,4/1/2021,760952,357568,52883611,121100,1989,2841654
United Kingdom,3/1/2021,753753,377037,52515234,121100,718,2839665
United Kingdom,2/1/2021,758004,363805,52138197,121100,550,2838947
United Kingdom,1/1/2021,710006,408033,51774482,121100,596,2838397
United Kingdom,31/12/2020,720746,430117,51366449,121100,3064,2837801
United Kingdom,30/12/2020,721514,363739,50918976,121100,3090,2834737
United Kingdom,29/12/2020,738114,289863,50555152,121100,2670,2831647
United Kingdom,28/12/2020,755406,329910,50265380,121100,642,2828977
United Kingdom,27/12/2020,748622,333028,49935470,121100,588,2828335
United Kingdom,26/12/2020,719216,263663,49602442,121100,735,2827747
United Kingdom,25/12/2020,700306,334434,49338779,121100,588,2827012
United Kingdom,24/12/2020,719971,428159,49004345,121100,3150,2826424
United Kingdom,23/12/2020,711264,462419,48576186,121100,3351,2823274
United Kingdom,22/12/2020,715114,416533,48113747,121100,2349,2820455
United Kingdom,21/12/2020,682894,393047,47694789,121100,2457,2817312
United Kingdom,20/12/2020,663550,415468,47292503,121100,480,2814344
United Kingdom,19/12/2020,646636,423456,46877035,121100,1662,2813864
United Kingdom,18/12/2020,572780,362755,46453579,121100,4022,2812202
United Kingdom,17/12/2020,584280,354431,46089994,121100,3094,2808180
United Kingdom,16/12/2020,549480,346426,45713287,121100,4154,2805086
United Kingdom,15/12/2020,533964,286593,45366948,121100,2679,2800932
United Kingdom,14/12/2020,552810,254365,45071600,121100,2172,2792031
United Kingdom,13/12/2020,542366,303646,44817235,121100,365,2788748
United Kingdom,12/12/2020,542836,347302,44513590,121100,966,2788383
United Kingdom,11/12/2020,537163,362732,44166288,121100,3979,2787417
United Kingdom,10/12/2020,536978,379522,43803556,121100,3590,2783438
United Kingdom,9/12/2020,552186,330596,43424035,121100,2860,2773773
United Kingdom,8/12/2020,559686,258545,43080501,121100,2254,2770061
United Kingdom,7/12/2020,561716,181493,42821958,121100,2074,2767654
United Kingdom,6/12/2020,555960,251913,42638101,121100,335,2765580
United Kingdom,5/12/2020,562109,327604,42386189,121100,1417,2765245
United Kingdom,4/12/2020,564032,337482,42058585,121100,4228,2763828
United Kingdom,3/12/2020,582238,354645,41721103,121100,3740,2759600
United Kingdom,2/12/2020,582449,325610,41364985,121100,3528,2755525
United Kingdom,1/12/2020,582960,283038,41039375,121100,2918,2751997
United Kingdom,30/11/2020,574395,185276,40750321,121100,1674,2739880
United Kingdom,29/11/2020,541159,213036,40546995,121100,478,2722579
United Kingdom,28/11/2020,536262,304710,40331832,121100,729,2721295
United Kingdom,27/11/2020,534326,322741,40026917,121100,3564,2720566
United Kingdom,26/11/2020,533800,374522,39704176,121100,4424,2717002
United Kingdom,25/11/2020,534125,346677,39329071,121100,3571,2712524
United Kingdom,24/11/2020,528125,303364,38983863,121100,3037,2708953
United Kingdom,23/11/2020,525856,201209,38677460,121100,2387,2699146
United Kingdom,22/11/2020,535906,273820,38474840,121100,417,2696759
United Kingdom,21/11/2020,538088,362198,38196702,121100,903,2696219
United Kingdom,20/11/2020,537326,382919,37834504,121100,4214,2694541
United Kingdom,19/11/2020,537771,386825,37451585,121100,4493,2690327
United Kingdom,18/11/2020,536471,356295,37057033,121100,3136,2685414
United Kingdom,17/11/2020,529691,273273,36690446,121100,3188,2682266
United Kingdom,16/11/2020,519417,223912,36416418,121100,2440,2674824
United Kingdom,15/11/2020,504595,278265,36173956,121100,796,2671995
United Kingdom,14/11/2020,514418,336771,35897186,121100,895,2671062
United Kingdom,13/11/2020,520135,372178,35560415,121100,3806,2670167
United Kingdom,12/11/2020,519951,369185,35188237,121100,4044,2666361
United Kingdom,11/11/2020,518957,365028,34818383,121100,4035,2662272
United Kingdom,10/11/2020,511451,292419,34450009,121100,5298,2656805
United Kingdom,9/11/2020,504491,234079,34158037,121100,7046,2651432
United Kingdom,8/11/2020,517957,276998,33923171,121100,2967,2644384
United Kingdom,7/11/2020,527761,322043,33643141,121100,3099,2641393
United Kingdom,6/11/2020,530046,350818,33321098,121100,7617,2638015
United Kingdom,5/11/2020,530112,344045,32970188,121100,11392,2630398
United Kingdom,4/11/2020,528245,301131,32622557,121100,7384,2618976
United Kingdom,3/11/2020,526367,265024,32309316,121100,10350,2611592
United Kingdom,2/11/2020,521016,207817,32038590,121100,11490,2595803
United Kingdom,1/11/2020,519770,270473,31817003,121100,12536,2583073
United Kingdom,31/10/2020,525282,292573,31544617,121100,15659,2570535
United Kingdom,30/10/2020,478441,305139,31249603,121100,25030,2554427
United Kingdom,29/10/2020,480961,347626,30941069,121100,30453,2529148
United Kingdom,28/10/2020,467512,308763,30591147,121100,35012,2498691
United Kingdom,27/10/2020,439541,280995,30282244,121100,30138,2463679
United Kingdom,26/10/2020,445723,261855,29994301,121100,2489,2423782
United Kingdom,25/10/2020,377996,321113,29729949,121100,622,2421293
United Kingdom,24/10/2020,374339,317895,29408836,121100,1463,2420671
United Kingdom,23/10/2020,369148,346671,29090941,121100,5054,2419208
United Kingdom,22/10/2020,361573,340132,28744108,121100,3775,2413880
United Kingdom,21/10/2020,380049,310322,28399151,121100,4530,2410017
United Kingdom,20/10/2020,373533,279996,28078061,121100,3886,2405116
United Kingdom,19/10/2020,362121,260338,27795752,121100,3192,2392163
United Kingdom,18/10/2020,330370,306893,27533164,121100,495,2388971
United Kingdom,17/10/2020,327668,308416,27226271,121100,1226,2388476
United Kingdom,16/10/2020,328461,312178,26917855,121100,6078,2387250
United Kingdom,15/10/2020,323006,304315,26605703,121100,4541,2381149
United Kingdom,14/10/2020,345135,295690,26301012,121100,4833,2376566
United Kingdom,13/10/2020,344426,264713,25999507,121100,3429,2371573
United Kingdom,12/10/2020,344159,219074,25697164,121100,2973,2358759
United Kingdom,11/10/2020,309921,258955,25476034,121100,523,2355709
United Kingdom,10/10/2020,308630,279606,25217079,121100,2370,2355186
United Kingdom,9/10/2020,306991,296559,24937474,121100,6261,2352816
United Kingdom,8/10/2020,313844,285015,24640915,121100,5089,2346555
United Kingdom,7/10/2020,307635,254579,24337590,121100,4965,2341430
United Kingdom,6/10/2020,306173,261336,24081522,121100,4473,2336467
United Kingdom,5/10/2020,313802,273100,23818928,121100,3503,2377919
United Kingdom,4/10/2020,302150,250348,23545565,121100,1275,2320286
United Kingdom,3/10/2020,304568,286802,23295217,121100,1944,2319011
United Kingdom,2/10/2020,305880,269820,23008415,121100,6920,2317067
United Kingdom,1/10/2020,310288,264979,22738421,121100,6573,2310039
United Kingdom,30/9/2020,323425,255915,22468246,121100,5883,2303486
United Kingdom,29/9/2020,296812,232212,22209600,121100,5088,2297407
United Kingdom,28/9/2020,303784,227038,21963666,121100,4885,2285446
United Kingdom,27/9/2020,290399,263526,21736150,121100,3912,2280561
United Kingdom,26/9/2020,281076,255488,21472624,121100,4809,2276649
United Kingdom,25/9/2020,284587,288701,21217136,121100,10017,2271840
United Kingdom,24/9/2020,281655,262109,20927096,121100,12659,2261740
