areaName,date,weeklyPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedFirstDoseByVaccinationDate,weeklyPeopleVaccinatedSecondDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
England,14-02-2021,2270123,12844193,17521,487697
England,07-02-2021,2398160,10574070,8571,470176
England,31-01-2021,2198114,8175910,8466,461605
England,24-01-2021,2244887,5977796,6527,453139
England,17-01-2021,1608244,3732909,40483,446612
England,10-01-2021,953478,2124665,385550,406129
England,03-01-2021,329480,1171187,20579,20579
England,27-12-2020,267542,841707,0,0
England,20-12-2020,518728,574165,0,0
England,13-12-2020,55437,55437,0,0
Northern Ireland,14-02-2021,93765,397243,1542,29005
Northern Ireland,07-02-2021,81669,303478,2851,27463
Northern Ireland,31-01-2021,62167,221809,1899,24612
Northern Ireland,24-01-2021,33925,159642,1697,22713
Northern Ireland,17-01-2021,47712,125717,7067,21016
Northern Ireland,10-01-2021,37320,78005,12678,13949
Northern Ireland,03-01-2021,9669,40685,1271,1271
Northern Ireland,27-12-2020,14948,31016,0,0
Northern Ireland,20-12-2020,12445,16068,0,0
Northern Ireland,13-12-2020,3623,3623,0,0
Scotland,14-02-2021,373985,1255190,4043,15777
Scotland,07-02-2021,289295,881205,3121,11734
Scotland,31-01-2021,166776,591910,2526,8613
Scotland,24-01-2021,153565,425134,2083,6087
Scotland,17-01-2021,104478,271569,1136,4004
Scotland,10-01-2021,51248,167091,2825,2868
Scotland,03-01-2021,21323,115843,43,43
Scotland,27-12-2020,34403,94520,0,0
Scotland,20-12-2020,41124,60117,0,0
Scotland,13-12-2020,18993,18993,0,0
Wales,14-02-2021,170282,788475,2511,5436
Wales,07-02-2021,181595,618193,1923,2925
Wales,31-01-2021,152275,436598,400,1002
Wales,24-01-2021,125024,284323,398,602
Wales,17-01-2021,67431,159299,116,204
Wales,10-01-2021,41368,91868,62,88
Wales,03-01-2021,14132,50500,26,26
Wales,27-12-2020,12463,36368,0,0
Wales,20-12-2020,15693,23905,0,0
Wales,13-12-2020,8212,8212,0,0
