areaName,date,newPeopleVaccinatedFirstDoseByPublishDate,newDeaths28DaysByDeathDate
United Kingdom,16-04-2021,119306,32
United Kingdom,15-04-2021,129782,97
United Kingdom,14-04-2021,117835,130
United Kingdom,13-04-2021,76123,102
United Kingdom,12-04-2021,59905,128
United Kingdom,11-04-2021,69223,139
United Kingdom,10-04-2021,111109,135
United Kingdom,09-04-2021,106878,140
United Kingdom,08-04-2021,96242,172
United Kingdom,07-04-2021,99530,223
United Kingdom,06-04-2021,85227,205
United Kingdom,05-04-2021,40744,224
United Kingdom,04-04-2021,48055,216
United Kingdom,03-04-2021,107886,254
United Kingdom,02-04-2021,107420,266
United Kingdom,01-04-2021,170818,282
United Kingdom,31-03-2021,239434,274
United Kingdom,30-03-2021,225917,320
United Kingdom,29-03-2021,236809,343
United Kingdom,28-03-2021,293548,376
United Kingdom,27-03-2021,424301,418
United Kingdom,26-03-2021,411305,428
United Kingdom,25-03-2021,324942,445
United Kingdom,24-03-2021,337665,513
United Kingdom,23-03-2021,325650,490
United Kingdom,22-03-2021,329897,487
United Kingdom,21-03-2021,367006,523
United Kingdom,20-03-2021,752308,571
United Kingdom,19-03-2021,614930,601
United Kingdom,18-03-2021,528260,601
United Kingdom,17-03-2021,462246,682
United Kingdom,16-03-2021,433320,631
United Kingdom,15-03-2021,386685,697
United Kingdom,14-03-2021,257010,748
United Kingdom,13-03-2021,512108,716
United Kingdom,12-03-2021,369578,855
United Kingdom,11-03-2021,260809,846
United Kingdom,10-03-2021,243887,887
United Kingdom,09-03-2021,217301,889
United Kingdom,08-03-2021,215273,912
United Kingdom,07-03-2021,164143,1063
United Kingdom,06-03-2021,416834,1106
United Kingdom,05-03-2021,437463,1107
United Kingdom,04-03-2021,376244,1057
United Kingdom,03-03-2021,278956,1164
United Kingdom,02-03-2021,224996,1153
United Kingdom,01-03-2021,203168,1159
United Kingdom,28-02-2021,185900,1239
United Kingdom,27-02-2021,407503,1231
United Kingdom,26-02-2021,504493,1294
United Kingdom,25-02-2021,485720,1359
United Kingdom,24-02-2021,448962,1296
United Kingdom,23-02-2021,326692,1264
United Kingdom,22-02-2021,192341,1300
United Kingdom,21-02-2021,141719,1223
United Kingdom,20-02-2021,334679,1220
United Kingdom,19-02-2021,371906,1212
United Kingdom,18-02-2021,452454,1204
United Kingdom,17-02-2021,482110,1133
United Kingdom,16-02-2021,364865,1091
United Kingdom,15-02-2021,275956,1017
United Kingdom,14-02-2021,237962,980
United Kingdom,13-02-2021,505362,991
United Kingdom,12-02-2021,544603,931
United Kingdom,11-02-2021,503116,905
United Kingdom,10-02-2021,450810,843
United Kingdom,09-02-2021,411812,756
