areaName,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
United Kingdom,31-12-2020,750,76368
United Kingdom,30-12-2020,718,75618
United Kingdom,29-12-2020,662,74900
United Kingdom,28-12-2020,676,74238
United Kingdom,27-12-2020,,
United Kingdom,26-12-2020,653,72916
United Kingdom,25-12-2020,609,72263
United Kingdom,24-12-2020,582,71654
United Kingdom,23-12-2020,564,71072
United Kingdom,22-12-2020,563,70508
United Kingdom,21-12-2020,576,69945
United Kingdom,20-12-2020,,
United Kingdom,19-12-2020,487,68866
United Kingdom,18-12-2020,515,68379
United Kingdom,17-12-2020,537,67864
United Kingdom,16-12-2020,434,67327
United Kingdom,15-12-2020,454,66893
United Kingdom,14-12-2020,479,66439
United Kingdom,13-12-2020,,
United Kingdom,12-12-2020,436,65541
United Kingdom,11-12-2020,451,65105
United Kingdom,10-12-2020,445,64654
United Kingdom,09-12-2020,431,64209
United Kingdom,08-12-2020,434,63778
United Kingdom,07-12-2020,422,63344
United Kingdom,06-12-2020,418,62922
United Kingdom,05-12-2020,396,62504
United Kingdom,04-12-2020,,62108
United Kingdom,03-12-2020,474,61636
United Kingdom,02-12-2020,386,61162
United Kingdom,01-12-2020,400,60776
United Kingdom,30-11-2020,423,60376
United Kingdom,29-11-2020,463,59953
United Kingdom,28-11-2020,467,59490
United Kingdom,27-11-2020,422,59023
United Kingdom,26-11-2020,433,58601
United Kingdom,25-11-2020,483,58168
United Kingdom,24-11-2020,459,57685
United Kingdom,23-11-2020,465,57226
United Kingdom,22-11-2020,476,56761
United Kingdom,21-11-2020,464,56285
United Kingdom,20-11-2020,,55821
United Kingdom,19-11-2020,462,55369
United Kingdom,18-11-2020,486,54907
United Kingdom,17-11-2020,440,54421
United Kingdom,16-11-2020,423,53981
United Kingdom,15-11-2020,453,53558
United Kingdom,14-11-2020,430,53105
United Kingdom,13-11-2020,,
United Kingdom,12-11-2020,421,52240
United Kingdom,11-11-2020,389,51819
United Kingdom,10-11-2020,389,51430
United Kingdom,09-11-2020,481,51041
United Kingdom,08-11-2020,414,50560
United Kingdom,07-11-2020,391,50146
United Kingdom,06-11-2020,400,49755
United Kingdom,05-11-2020,380,49355
United Kingdom,04-11-2020,328,48975
United Kingdom,03-11-2020,360,48647
United Kingdom,02-11-2020,334,48287
United Kingdom,01-11-2020,358,47953
United Kingdom,31-10-2020,320,47595
United Kingdom,30-10-2020,338,47275
United Kingdom,29-10-2020,,
United Kingdom,28-10-2020,286,46626
United Kingdom,27-10-2020,267,46340
United Kingdom,26-10-2020,278,46073
United Kingdom,25-10-2020,249,45795
United Kingdom,24-10-2020,214,45546
United Kingdom,23-10-2020,222,45332
United Kingdom,22-10-2020,235,45110
United Kingdom,21-10-2020,221,44875
United Kingdom,20-10-2020,195,44654
United Kingdom,19-10-2020,191,44459
United Kingdom,18-10-2020,,44268
United Kingdom,17-10-2020,177,44109
United Kingdom,16-10-2020,150,43932
United Kingdom,15-10-2020,151,43782
United Kingdom,14-10-2020,117,43631
United Kingdom,13-10-2020,109,43514
United Kingdom,12-10-2020,113,43405
United Kingdom,11-10-2020,122,43292
United Kingdom,10-10-2020,104,43170
United Kingdom,09-10-2020,79,43066
United Kingdom,08-10-2020,92,42987
United Kingdom,07-10-2020,102,42895
United Kingdom,06-10-2020,71,42793
United Kingdom,05-10-2020,72,42722
United Kingdom,04-10-2020,60,42650
United Kingdom,03-10-2020,67,42590
United Kingdom,02-10-2020,68,42523
